GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000027984	5868	5970	6016	6102	6549	3670	4010	5900	6788	6266	5840	7370
ENSMUSG00000027983	389	914	1263	691	1167	665	967	643	715	556	514	799
ENSMUSG00000050931	53	211	0	351	125	140	277	17	74	43	79	92
ENSMUSG00000028032	3916	4900	1918	4315	7150	2223	2828	3723	4597	3644	3936	5889
ENSMUSG00000028029	999	700	634	649	873	909	541	618	952	682	919	729
ENSMUSG00000028030	576	919	763	609	1120	344	626	571	678	594	652	669
ENSMUSG00000105691	0	0	0	4	0	0	4	54	8	24	15	24
ENSMUSG00000040998	93	222	0	269	0	67	121	0	56	88	1	123
ENSMUSG00000028018	120	40	167	104	3	13	41	16	86	64	29	81
ENSMUSG00000028016	602	761	1390	741	601	23	375	341	628	500	559	1003
ENSMUSG00000105957	151	488	16	360	278	149	241	334	398	280	356	431
ENSMUSG00000028013	3270	3045	2324	2676	3521	2728	1449	2204	3423	2679	3026	2765
ENSMUSG00000040943	1059	1904	1175	2037	2779	1584	2747	1300	2400	2254	1379	2712
ENSMUSG00000097911	0	14	0	13	0	0	6	32	39	0	27	7
ENSMUSG00000044365	94	305	0	151	478	20	166	227	307	113	292	190
ENSMUSG00000028167	1088	878	206	1048	769	1263	448	536	885	527	540	1042
ENSMUSG00000028165	1503	2194	1656	2006	1903	2602	1415	1799	2804	1444	1772	2041
ENSMUSG00000105449	16	5	0	7	0	1	1	4	93	47	33	24
ENSMUSG00000097032	0	1	0	31	17	0	13	5	41	24	43	15
ENSMUSG00000078578	8704	11137	6072	9909	13065	6250	7045	7480	10960	8742	8801	10110
ENSMUSG00000028164	565	1296	792	1178	1063	1045	1146	928	1151	1322	1118	958
ENSMUSG00000083610	17	26	14	42	6	21	14	23	16	21	17	16
ENSMUSG00000028163	871	664	734	409	543	1458	657	529	1123	601	811	756
ENSMUSG00000106149	15	67	12	14	89	251	16	43	114	5	82	67
ENSMUSG00000053897	3	561	65	207	0	423	316	27	31	125	41	149
ENSMUSG00000037922	0	0	618	110	0	0	27	11	36	34	0	13
ENSMUSG00000028161	4220	6116	5097	6006	7815	5447	5229	4212	6196	5712	4885	5556
ENSMUSG00000054690	702	388	277	659	142	1035	326	66	79	176	72	153
ENSMUSG00000046818	3031	3948	1066	2920	5100	2251	2935	2666	3673	3047	3237	4086
ENSMUSG00000037894	2730	2554	2486	2446	4031	2885	1517	1768	3095	2159	2836	2077
ENSMUSG00000074212	427	1362	388	900	1088	797	780	766	1240	701	623	949
ENSMUSG00000105748	128	0	0	4	55	0	21	25	42	64	3	55
ENSMUSG00000104675	17	13	22	12	30	43	12	13	22	20	10	21
ENSMUSG00000091512	3224	3515	3292	3015	5010	4305	2224	2245	3578	2129	3000	3437
ENSMUSG00000028159	1373	3471	2430	2814	3221	762	2173	2272	2554	2686	2041	3289
ENSMUSG00000028158	1385	978	1210	955	1147	245	1070	745	955	1282	866	1337
ENSMUSG00000004127	142	359	1	437	404	299	418	243	566	470	245	354
ENSMUSG00000074207	74	42	0	147	0	0	11	1	21	34	0	0
ENSMUSG00000028138	4813	6438	4938	5336	9087	4951	4178	5042	6455	5563	5389	6587
ENSMUSG00000005813	247	628	613	728	665	820	734	717	1036	559	938	966
ENSMUSG00000028156	5672	7200	3814	5654	7584	5309	4216	4979	6282	4700	5171	6202
ENSMUSG00000028152	1282	2574	1511	2541	1719	1206	2163	1718	1828	1559	970	1966
ENSMUSG00000028149	493	2286	498	1680	1531	1123	1231	1116	1797	1252	1070	1466
ENSMUSG00000106574	20	21	15	34	28	23	14	16	36	15	35	23
ENSMUSG00000089737	46	0	0	0	0	28	5	5	18	38	17	19
ENSMUSG00000059921	345	134	57	129	237	751	117	289	517	403	295	508
ENSMUSG00000089924	54	43	28	12	0	0	29	11	8	10	3	60
ENSMUSG00000052430	1696	5704	1371	3486	7075	1888	5349	3439	3428	3150	3445	6257
ENSMUSG00000028273	1730	3978	2320	2520	4442	1255	2440	2181	3132	2650	2201	3695
ENSMUSG00000105504	347	142	501	130	207	0	86	51	160	59	63	179
ENSMUSG00000040253	767	638	883	1121	1545	249	516	569	870	270	718	962
ENSMUSG00000028268	261	460	583	585	238	556	390	121	5	182	146	89
ENSMUSG00000028270	265	456	0	387	222	562	144	43	158	290	130	351
ENSMUSG00000040213	638	1961	684	1690	2381	1256	981	1319	1670	1555	1190	1749
ENSMUSG00000028271	1594	1647	869	1766	1574	428	856	1917	2484	1529	1492	2087
ENSMUSG00000004591	737	2091	1140	1780	2044	651	1787	1018	1400	1186	1143	1954
ENSMUSG00000078162	15	13	20	26	6	13	13	30	29	15	21	20
ENSMUSG00000028266	1778	1528	1192	1334	2868	1777	820	1767	3163	1574	2383	1854
ENSMUSG00000104969	39	1	27	24	0	1	1	4	48	24	32	40
ENSMUSG00000106416	41	7	0	0	0	97	0	36	5	20	7	19
ENSMUSG00000040151	675	2116	422	1358	1639	1928	1656	1711	1945	1451	1968	2388
ENSMUSG00000106057	108	30	201	0	112	92	38	31	86	17	41	13
ENSMUSG00000037072	18864	21276	16402	20871	31376	20591	11398	14772	21857	15846	18345	19071
ENSMUSG00000037062	3361	3764	1860	3514	4142	3715	2601	3174	4988	2991	3028	3768
ENSMUSG00000028256	167	406	1343	315	335	33	645	396	938	621	440	554
ENSMUSG00000074182	458	605	477	382	492	73	362	425	629	349	518	520
ENSMUSG00000028195	11521	5726	4904	6417	9290	5700	8291	10141	10228	15946	11112	18567
ENSMUSG00000097183	178	59	128	97	173	174	70	59	66	176	87	89
ENSMUSG00000028194	11927	20793	14312	18633	25217	17892	15215	17126	21364	16449	15754	19481
ENSMUSG00000105388	54	16	2	32	0	27	16	36	67	19	27	37
ENSMUSG00000028191	1317	1723	1446	1044	1921	2115	1155	1198	1629	1048	1546	1606
ENSMUSG00000036873	997	1665	955	1571	2253	1831	1121	1296	1849	1153	2003	1510
ENSMUSG00000036863	270	843	56	213	776	68	600	216	269	436	177	614
ENSMUSG00000043020	14	242	175	340	159	0	176	4	53	93	0	214
ENSMUSG00000036832	155	20	170	109	0	0	45	36	56	51	24	94
ENSMUSG00000036825	1028	1993	2093	1556	1466	1266	1134	1076	1398	1385	1180	1395
ENSMUSG00000028189	1863	2485	1756	2341	4268	400	1731	1990	1878	1385	1810	2623
ENSMUSG00000028188	310	209	490	266	571	7	326	152	190	309	279	425
ENSMUSG00000068523	4525	4843	3157	3895	6649	5460	1755	3114	5886	2927	4174	3830
ENSMUSG00000028187	1221	1165	1850	1028	1959	1385	729	802	1220	1009	1161	1426
ENSMUSG00000028186	119	237	292	302	140	0	235	24	0	90	55	288
ENSMUSG00000048652	56	14	23	24	0	0	13	1	13	11	0	6
ENSMUSG00000005034	993	1628	784	1733	1166	1762	1835	1216	1217	1167	740	1610
ENSMUSG00000036745	137	24	0	249	193	79	188	123	84	186	112	174
ENSMUSG00000028184	248	827	167	525	1281	770	1171	427	571	700	587	688
ENSMUSG00000047676	43	14	18	16	28	33	13	23	41	15	25	29
ENSMUSG00000039167	579	1792	661	2272	991	105	1587	161	495	393	27	341
ENSMUSG00000028037	283	25	145	62	0	0	25	29	0	20	0	24
ENSMUSG00000028035	1556	3072	1018	3010	2213	938	1518	1960	2748	1615	2176	3138
ENSMUSG00000028034	2756	2866	352	3011	4022	2054	2830	2207	3786	3209	2830	4039
ENSMUSG00000039103	9	75	162	172	8	420	53	14	10	130	51	42
ENSMUSG00000054942	442	782	2041	782	993	261	558	592	1114	627	564	793
ENSMUSG00000025437	426	1992	891	1208	2513	839	2574	1035	1014	1678	1154	1472
ENSMUSG00000105710	0	7	0	5	13	2	0	1	14	7	11	11
ENSMUSG00000104546	130	89	0	67	1	436	72	57	19	103	96	96
ENSMUSG00000104548	70	43	5	52	1	0	59	51	53	9	51	80
ENSMUSG00000039068	283	1251	1454	1027	1734	848	1075	893	1679	1183	1369	1241
ENSMUSG00000039058	4	160	0	277	5	262	43	18	49	95	8	86
ENSMUSG00000039047	1966	2275	1458	1696	2728	955	2128	1377	2029	1761	2243	2367
ENSMUSG00000039037	4901	6088	2514	3441	6538	1793	5817	4203	5943	4853	3490	7674
ENSMUSG00000090163	15	8	0	10	0	0	32	31	30	5	0	22
ENSMUSG00000105894	85	23	3	63	0	243	77	66	166	98	99	101
ENSMUSG00000052544	441	361	701	311	0	116	213	89	162	151	64	307
ENSMUSG00000038975	1412	1576	1859	1377	2594	2124	1296	1418	1618	1673	1760	1894
ENSMUSG00000065738	0	10	0	1	0	0	15	0	9	12	10	16
ENSMUSG00000062908	4367	7215	4778	6288	9817	3426	4915	5165	6941	6203	6106	6724
ENSMUSG00000028360	14	106	0	93	241	0	1	0	0	1	0	18
ENSMUSG00000047583	389	386	505	230	712	289	365	233	380	394	419	466
ENSMUSG00000028199	1094	1876	829	1572	1670	1075	907	919	1693	868	785	1268
ENSMUSG00000078161	231	49	216	164	0	0	103	24	34	69	88	221
ENSMUSG00000053870	350	1419	0	811	549	73	1292	1164	1068	812	457	1375
ENSMUSG00000028182	65	56	1	79	37	0	95	16	35	39	9	82
ENSMUSG00000104122	0	11	0	13	57	139	22	10	15	2	29	15
ENSMUSG00000085084	389	346	303	326	835	271	348	211	415	353	290	315
ENSMUSG00000040037	1251	2091	118	1563	1778	1648	1568	1178	2243	1485	1870	2040
ENSMUSG00000104696	0	101	0	98	373	11	29	95	59	56	143	75
ENSMUSG00000105290	101	4	0	62	221	19	31	127	138	57	24	57
ENSMUSG00000106018	21	24	0	0	25	0	41	85	12	23	100	0
ENSMUSG00000105803	0	0	200	3	59	7	27	15	10	1	10	16
ENSMUSG00000028180	2990	3014	2611	3431	5073	1183	3829	2802	4187	3359	3427	4310
ENSMUSG00000028179	1831	2427	1758	2323	3799	640	1559	1548	2403	2282	2095	2890
ENSMUSG00000104528	105	110	0	99	0	3	81	3	107	109	69	118
ENSMUSG00000028177	77	191	0	178	95	0	201	72	171	260	282	170
ENSMUSG00000039988	579	2029	820	1299	2335	1158	1474	1314	1602	1051	1025	1557
ENSMUSG00000105643	1	24	0	0	0	0	5	56	102	14	27	55
ENSMUSG00000055436	3956	5386	5118	5365	7804	3549	6539	4252	5895	6747	5236	6743
ENSMUSG00000105201	251	190	77	148	189	299	170	101	162	184	208	197
ENSMUSG00000063052	691	1360	114	1272	1812	65	916	825	921	993	963	1985
ENSMUSG00000028174	317	582	0	211	576	97	237	148	205	118	340	126
ENSMUSG00000028173	4168	12060	7131	8114	10526	4218	7428	6320	7845	8156	6544	11039
ENSMUSG00000085180	21	7	0	3	0	0	6	15	19	14	37	18
ENSMUSG00000028232	413	1314	377	1210	741	161	817	1112	1269	1023	1155	1463
ENSMUSG00000028233	699	616	876	685	658	132	883	707	1088	522	516	1229
ENSMUSG00000042228	1089	2188	574	1538	1572	1685	1654	932	846	1054	427	2027
ENSMUSG00000055216	0	2	0	22	0	37	1	27	39	14	9	29
ENSMUSG00000028234	550	409	355	481	562	927	226	467	814	372	541	429
ENSMUSG00000042198	2262	1164	1428	1648	2203	2095	1101	1205	2159	1828	2453	1564
ENSMUSG00000068240	10	9	6	13	11	22	3	8	17	12	11	8
ENSMUSG00000045573	197	103	0	56	103	169	37	0	0	67	0	0
ENSMUSG00000066324	2559	3224	857	3848	3860	823	3092	4158	4096	2720	2822	4196
ENSMUSG00000049119	885	689	563	889	532	416	750	811	717	883	769	859
ENSMUSG00000028243	776	1432	1932	1803	1672	1337	845	1209	1126	1144	947	1549
ENSMUSG00000028249	8785	15382	11592	12746	17862	11032	9450	9179	12348	11076	12031	13426
ENSMUSG00000028245	1743	2788	1785	2960	3506	1223	4997	1782	2801	4216	3003	3675
ENSMUSG00000041272	649	971	1040	374	1505	568	732	493	782	557	589	889
ENSMUSG00000041261	389	388	680	228	1	263	356	180	221	187	260	110
ENSMUSG00000047187	11229	19289	10859	16605	23006	15436	11408	12085	17104	11865	13916	17383
ENSMUSG00000041235	3123	2690	1486	2587	2881	2744	2796	1762	3326	2776	2653	3300
ENSMUSG00000028207	5732	11366	4355	9436	11260	4692	7758	6062	8771	6763	6928	10207
ENSMUSG00000085558	130	54	441	253	800	225	23	235	171	126	142	230
ENSMUSG00000066315	21	20	11	19	28	23	9	17	29	15	20	11
ENSMUSG00000059482	1633	3265	1119	2526	3650	1192	1699	1454	2641	1775	1843	3160
ENSMUSG00000049969	1138	2911	2864	2283	2326	663	2163	1992	2081	2172	1681	3015
ENSMUSG00000050323	816	1163	634	707	1548	994	590	596	770	1060	1020	783
ENSMUSG00000086765	0	53	0	65	114	0	25	0	0	41	58	18
ENSMUSG00000028211	596	1113	1409	873	1726	660	1416	904	1602	893	778	1895
ENSMUSG00000028212	96	192	0	101	68	108	111	131	74	58	88	115
ENSMUSG00000040738	530	2056	2715	1630	1904	832	1269	1087	1339	1457	938	2013
ENSMUSG00000045205	662	772	39	597	896	268	332	636	657	323	759	687
ENSMUSG00000040720	573	984	220	954	1377	56	666	496	707	411	522	898
ENSMUSG00000086625	59	0	0	31	0	0	0	28	43	25	20	9
ENSMUSG00000078773	152	194	337	94	0	214	177	26	49	57	9	88
ENSMUSG00000094595	12	27	0	18	77	40	11	31	27	29	24	62
ENSMUSG00000028214	1628	938	72	836	1989	1578	970	1442	1324	1175	1175	1486
ENSMUSG00000049225	519	973	104	1162	2041	87	1013	929	969	776	764	1710
ENSMUSG00000085614	8	46	0	10	67	60	63	43	48	50	54	72
ENSMUSG00000049488	443	1009	789	1031	746	618	1315	416	853	967	606	1162
ENSMUSG00000052137	337	189	33	341	232	89	209	280	353	229	292	350
ENSMUSG00000083246	53	23	0	9	77	0	44	37	79	20	2	33
ENSMUSG00000046667	369	369	600	176	264	286	285	218	294	214	460	266
ENSMUSG00000028218	1201	1612	976	1505	1997	1089	899	1147	1642	1511	1597	1642
ENSMUSG00000055963	715	540	345	592	1738	340	479	753	794	448	692	964
ENSMUSG00000006586	30	286	118	165	585	125	398	54	220	42	99	204
ENSMUSG00000040550	425	2052	1523	1836	3248	1015	908	1544	2011	1145	1015	2301
ENSMUSG00000028221	2582	4664	2459	5371	5401	3358	3059	4683	5684	4356	4376	5490
ENSMUSG00000086587	429	237	377	344	436	315	228	368	478	218	397	317
ENSMUSG00000040536	0	28	10	8	0	0	2	0	19	22	13	39
ENSMUSG00000043252	777	1280	467	722	1064	93	1125	585	708	422	558	784
ENSMUSG00000028222	757	401	301	1590	1449	231	627	56	225	95	476	446
ENSMUSG00000028223	3289	4154	2215	3139	4503	3531	2485	3630	3954	3592	3254	4365
ENSMUSG00000028224	484	1327	768	1121	1744	802	839	809	1063	1276	962	1183
ENSMUSG00000041153	1953	1831	1473	1804	2564	1054	1501	1812	2616	2160	1802	2624
ENSMUSG00000041135	529	700	112	647	497	540	578	495	477	563	589	958
ENSMUSG00000085112	77	51	0	63	0	0	46	80	42	59	119	93
ENSMUSG00000028226	102	132	547	231	270	310	318	203	500	391	242	405
ENSMUSG00000028228	821	1632	1196	1153	1372	899	1252	911	1306	773	851	1925
ENSMUSG00000028229	1874	1352	1231	1514	1748	1369	1107	1294	1998	1699	1887	1752
ENSMUSG00000078772	17	2	0	3	44	0	5	18	7	15	0	30
ENSMUSG00000041058	429	999	1281	830	1157	350	597	730	1186	735	748	783
ENSMUSG00000073988	1174	2542	551	1919	3460	613	1303	1690	1848	1265	1372	2391
ENSMUSG00000073987	4402	4088	2560	3542	4487	3181	2794	4199	5270	3505	4262	4858
ENSMUSG00000028252	811	1659	1281	1314	1939	715	860	1049	1498	672	1136	1251
ENSMUSG00000028251	504	417	224	406	348	162	239	470	590	456	533	425
ENSMUSG00000040455	199	438	0	614	70	3	314	459	556	405	432	449
ENSMUSG00000028248	11465	9001	7773	11757	15818	7514	19695	8541	15284	18696	15626	16141
ENSMUSG00000028247	347	960	407	663	288	921	625	724	758	630	877	875
ENSMUSG00000028246	57	69	0	77	0	13	124	97	96	74	101	178
ENSMUSG00000040410	1125	1985	132	784	2940	830	1120	765	1130	1132	867	1993
ENSMUSG00000103000	20	21	0	37	0	0	10	3	13	0	0	30
ENSMUSG00000095139	1144	674	1383	920	1370	1714	560	1229	1574	936	1564	1317
ENSMUSG00000107859	118	30	54	41	26	22	50	71	123	92	79	82
ENSMUSG00000045751	0	60	0	0	41	0	72	1	80	77	5	25
ENSMUSG00000040387	771	1777	1583	1081	683	309	1173	1210	1228	1581	1303	1318
ENSMUSG00000087399	11	35	0	7	0	73	6	10	24	30	29	26
ENSMUSG00000028261	2406	2485	1838	2461	3507	1144	1695	1657	2687	1869	2388	2134
ENSMUSG00000040359	1557	3509	455	2184	5461	1176	2713	2645	2812	2619	2438	3593
ENSMUSG00000055373	2165	3353	1091	2632	4613	3231	2013	2900	3621	2092	2518	4428
ENSMUSG00000040520	716	4290	283	2819	5325	241	2387	1770	2197	1372	1205	3422
ENSMUSG00000082674	32	29	34	33	65	25	10	19	21	23	23	21
ENSMUSG00000028289	386	392	0	586	45	6	392	327	345	244	284	155
ENSMUSG00000028284	1077	1745	707	1590	1476	316	1063	732	1364	1222	1135	1232
ENSMUSG00000040270	322	715	35	642	638	736	773	549	694	653	587	740
ENSMUSG00000086150	0	0	0	13	93	0	5	1	5	14	12	14
ENSMUSG00000028282	158	230	13	291	165	31	686	236	631	235	187	555
ENSMUSG00000058006	708	301	100	222	980	358	536	468	670	886	809	585
ENSMUSG00000045854	998	752	657	977	1274	1061	611	680	987	833	883	1013
ENSMUSG00000040183	380	2008	1739	1052	1598	428	1383	1040	784	1173	1033	1232
ENSMUSG00000028278	190	1098	666	959	612	577	691	443	804	836	524	936
ENSMUSG00000085037	74	320	15	211	28	448	188	100	270	381	300	190
ENSMUSG00000028277	1225	2429	1022	2144	1683	2077	1613	1395	1803	1798	1685	2234
ENSMUSG00000023267	36	13	0	48	117	0	54	0	97	46	0	33
ENSMUSG00000054659	0	93	0	25	18	0	84	36	41	11	48	110
ENSMUSG00000054679	98	37	0	57	0	44	55	7	13	29	18	73
ENSMUSG00000040128	3242	2156	1604	2727	2775	2909	1634	1774	2879	2151	2031	2552
ENSMUSG00000086127	0	15	2	11	0	0	27	12	103	4	8	14
ENSMUSG00000028274	297	1230	1989	750	864	52	873	508	929	760	620	1292
ENSMUSG00000044288	127	168	274	129	641	353	262	227	282	248	270	406
ENSMUSG00000095588	55	43	56	37	101	63	20	30	47	32	46	26
ENSMUSG00000028291	1959	1962	1024	1847	2115	1718	1300	1758	2857	1840	2077	2484
ENSMUSG00000040044	920	1995	251	2347	1133	359	2148	1547	1544	1528	1591	3005
ENSMUSG00000028292	1212	1271	1137	908	617	640	1087	714	914	855	821	1218
ENSMUSG00000028293	1266	1497	57	1238	1611	887	862	838	1342	990	934	1102
ENSMUSG00000028294	265	416	342	816	261	0	318	25	71	248	48	290
ENSMUSG00000028295	915	1028	734	1160	1782	1459	434	871	1445	973	1375	1057
ENSMUSG00000039967	870	816	1921	683	528	734	674	651	973	453	444	1474
ENSMUSG00000073910	123	182	430	272	119	0	227	157	136	258	188	337
ENSMUSG00000028300	1007	1279	843	773	1216	404	856	808	869	1053	728	1093
ENSMUSG00000082762	122	85	92	50	39	1	77	57	86	47	75	58
ENSMUSG00000028405	1707	5644	2744	3660	4320	1387	3702	3560	4505	3544	2772	4612
ENSMUSG00000040296	363	661	7	570	602	1079	466	391	403	333	320	458
ENSMUSG00000036822	1177	1333	483	1312	2013	494	1430	788	1254	1226	965	2089
ENSMUSG00000028407	141	133	150	167	192	214	86	90	205	129	161	133
ENSMUSG00000071014	3077	2525	2030	2125	3834	3357	1160	1934	3311	1979	2650	2244
ENSMUSG00000028411	884	1626	1102	1292	1998	838	812	1107	1196	1133	1083	1276
ENSMUSG00000028410	6040	10519	5291	10894	9182	4776	5929	5539	7914	6092	6851	7546
ENSMUSG00000028409	4370	5592	5031	4966	6494	5337	4291	4517	5580	4667	4633	5191
ENSMUSG00000056412	31	25	22	13	31	36	6	17	24	14	17	23
ENSMUSG00000028413	117	208	677	159	108	72	281	154	228	103	117	268
ENSMUSG00000028416	4260	3866	3446	3949	5410	6848	1948	2794	3204	2952	2979	2781
ENSMUSG00000028419	3684	3932	3116	4255	5284	3854	2101	3045	3819	2677	3253	3023
ENSMUSG00000028423	1867	3474	3309	2583	2611	1078	4165	1658	2511	2814	2969	3300
ENSMUSG00000028430	1662	2375	1193	1194	1202	1336	1931	1231	1947	2052	1528	2381
ENSMUSG00000036241	5021	3647	4072	3775	6192	7100	2200	3132	4075	2943	4026	3243
ENSMUSG00000028433	270	877	46	755	278	806	619	450	622	423	464	723
ENSMUSG00000028436	1324	3088	198	2197	3541	2124	2230	2133	2507	2221	2010	2885
ENSMUSG00000087938	2	8	0	10	3	11	17	10	29	8	7	21
ENSMUSG00000028437	1611	3234	3412	1964	3398	1033	1806	1883	1741	2233	1458	3033
ENSMUSG00000028438	21	30	0	60	1	1	13	15	109	60	7	93
ENSMUSG00000028443	1277	1479	1085	1148	2057	1865	774	1230	1666	1082	1447	1452
ENSMUSG00000046312	14164	33290	14930	23472	24255	14145	26251	22494	25482	25374	23916	29245
ENSMUSG00000028441	722	391	436	599	298	159	211	35	93	174	160	364
ENSMUSG00000028439	313	277	424	505	469	251	266	408	668	545	477	466
ENSMUSG00000087623	8	10	0	4	0	47	17	5	30	11	21	16
ENSMUSG00000061322	1736	1217	1607	1605	1688	1480	774	855	1149	970	1316	1393
ENSMUSG00000028445	13925	13305	9819	12301	17908	20016	7051	11554	16522	11497	14918	10594
ENSMUSG00000084761	156	115	73	220	98	4	271	109	208	188	156	217
ENSMUSG00000087054	46	31	0	38	69	10	93	36	58	65	47	101
ENSMUSG00000028444	1637	1902	1470	1280	1043	755	942	4326	5975	2762	4166	2452
ENSMUSG00000073889	5752	5247	5555	5587	6762	6213	3785	3330	4943	4731	5953	4901
ENSMUSG00000036114	1622	1258	863	942	1578	2241	591	1032	1494	913	1205	1124
ENSMUSG00000028447	3824	2715	1982	2772	4557	5644	1510	2148	3510	2539	3233	2697
ENSMUSG00000036078	3028	4623	3248	3934	5196	3266	2799	3556	5283	3960	4492	4743
ENSMUSG00000036073	1483	1396	1567	1773	2706	1338	1459	1013	1682	2453	2274	1931
ENSMUSG00000073888	804	473	711	553	582	430	673	411	556	738	541	714
ENSMUSG00000118434	6	2	0	24	0	0	12	7	14	11	14	22
ENSMUSG00000050141	17	7	0	22	100	0	132	44	36	101	90	88
ENSMUSG00000036062	234	113	0	65	138	68	18	53	126	144	125	35
ENSMUSG00000036052	540	772	554	558	147	630	438	727	1113	867	1119	856
ENSMUSG00000028452	5742	12441	7827	9582	13311	8635	8401	7500	9522	9519	7354	10275
ENSMUSG00000028453	349	508	0	462	478	292	603	152	668	581	540	597
ENSMUSG00000028454	1117	1576	2357	1450	813	668	1606	1634	1629	2528	1292	1874
ENSMUSG00000028455	3454	3310	3335	3641	5396	4545	2221	2332	3821	3015	3641	3312
ENSMUSG00000036002	1093	1915	1460	1804	1846	1748	2170	1558	2087	2587	2569	3404
ENSMUSG00000096974	187	104	34	80	152	88	40	96	132	106	102	89
ENSMUSG00000028456	521	851	228	524	1397	1818	1242	539	965	1261	1365	1180
ENSMUSG00000028457	122	29	0	47	0	39	76	0	0	67	0	95
ENSMUSG00000035969	489	915	1354	643	1200	84	1329	526	718	815	562	1033
ENSMUSG00000042788	394	247	533	420	235	218	205	40	47	160	166	257
ENSMUSG00000028458	423	782	310	666	804	727	711	599	672	764	619	613
ENSMUSG00000028459	0	20	0	29	126	0	47	6	2	16	23	10
ENSMUSG00000028461	4057	1468	2857	2032	3226	3437	1458	1798	2995	2309	3044	2220
ENSMUSG00000051517	7	49	0	25	56	3	4	7	38	4	11	15
ENSMUSG00000028463	94	191	22	316	150	1	93	14	0	59	64	157
ENSMUSG00000028464	1026	737	590	381	343	3011	440	203	214	275	130	185
ENSMUSG00000028465	1581	2516	787	1856	2220	2776	2051	1164	1674	1481	1439	1671
ENSMUSG00000028466	3670	4572	3096	3621	5957	4701	3213	2941	4865	4194	4600	4564
ENSMUSG00000028467	2324	2594	3625	2363	1266	1957	2911	1592	3100	2934	2349	2899
ENSMUSG00000028468	503	140	43	138	244	368	186	131	190	173	197	149
ENSMUSG00000086043	4	31	1	26	48	7	25	15	26	23	18	19
ENSMUSG00000028469	2251	3157	1824	2690	4136	1992	3712	2442	3262	3983	3235	3307
ENSMUSG00000066196	795	674	317	1197	730	425	620	108	260	670	446	930
ENSMUSG00000028470	1254	1052	868	947	1364	1538	629	551	1268	839	1033	895
ENSMUSG00000043633	17	11	6	53	7	14	31	48	15	13	69	50
ENSMUSG00000078716	268	567	8	593	359	747	716	376	948	496	385	669
ENSMUSG00000071001	166	102	0	130	68	343	52	0	31	3	11	22
ENSMUSG00000028475	119	188	0	100	0	560	73	0	65	0	2	20
ENSMUSG00000028476	776	1199	820	740	835	1200	642	485	435	738	480	598
ENSMUSG00000028480	960	1488	980	1388	1850	1502	738	980	1291	1097	1128	1698
ENSMUSG00000028478	2429	2077	2024	2172	3339	4332	1341	2200	2948	1966	2726	2245
ENSMUSG00000028479	1368	1908	548	878	1114	1020	1120	1072	1114	1334	907	1271
ENSMUSG00000035696	507	551	478	543	711	635	598	294	588	482	740	697
ENSMUSG00000035649	1416	1178	574	1063	522	575	1389	1070	2143	1664	1640	1545
ENSMUSG00000035637	1995	1431	1425	1572	2066	1509	1027	1465	1953	1646	2217	1790
ENSMUSG00000049657	738	1498	0	648	422	232	1256	876	856	877	663	1540
ENSMUSG00000070997	0	60	0	74	1	210	29	19	16	82	95	80
ENSMUSG00000028318	343	332	233	369	668	0	376	276	359	381	463	359
ENSMUSG00000048232	443	2200	285	926	1431	1014	1749	1081	1371	1639	792	1929
ENSMUSG00000078713	1378	1069	719	957	2002	1773	472	1094	1613	1034	1386	993
ENSMUSG00000035615	3255	3938	1932	2968	3175	1817	3054	1946	3472	3664	2673	4093
ENSMUSG00000035601	466	734	513	629	824	24	522	423	577	500	585	643
ENSMUSG00000028322	1246	965	1561	888	1394	1152	562	974	1218	815	1060	1127
ENSMUSG00000035572	373	725	136	477	671	14	406	344	605	365	383	724
ENSMUSG00000045973	696	1126	528	1044	885	605	674	878	1187	768	915	853
ENSMUSG00000035539	332	36	129	181	0	128	125	1	9	72	120	170
ENSMUSG00000035517	405	1617	1779	1661	430	146	1369	733	1632	1041	596	1301
ENSMUSG00000028328	69	34	300	300	133	0	110	27	18	78	34	105
ENSMUSG00000035495	514	799	836	977	1418	79	500	507	408	435	488	945
ENSMUSG00000028330	1058	1586	1688	1231	2232	786	1150	1508	1896	1479	1458	1921
ENSMUSG00000028329	488	398	514	464	566	679	407	516	668	575	804	818
ENSMUSG00000028331	503	211	0	145	0	260	245	121	218	193	174	243
ENSMUSG00000028333	1370	1403	1638	1428	1039	2588	632	858	1322	1055	912	1042
ENSMUSG00000028334	204	321	0	217	255	333	148	300	443	281	417	328
ENSMUSG00000039853	7	16	139	55	0	0	16	4	20	15	0	24
ENSMUSG00000039813	17	176	0	277	0	272	285	127	209	333	322	407
ENSMUSG00000039809	419	1974	4	523	1081	37	2695	130	404	690	320	1312
ENSMUSG00000066191	227	616	803	415	714	126	519	308	351	612	234	381
ENSMUSG00000039774	86	92	0	92	0	5	44	7	0	1	49	17
ENSMUSG00000007613	657	1005	1231	676	1523	744	839	270	262	308	493	416
ENSMUSG00000039740	3444	5798	2798	4900	6520	3001	4974	5055	5253	5542	5191	7407
