GeneName	Astro_GFP_AD_63694	Astro_GFP_WT_63702	Astro_GFP_WT_63703	Astro_GFP_WT_63746	Astro_GFP_WT_63747	Astro_GFP_WT_63765	Astro_GFP_WT_63778	Astro_SOCS3_WT_63704	Astro_SOCS3_WT_63750	Astro_SOCS3_WT_63780	Astro_SOCS3_WT_63796	Astro_SOCS3_WT_63799
ENSMUSG00000019737	113	239	0	171	179	234	135	41	347	279	176	155
ENSMUSG00000074211	488	337	253	312	368	422	210	257	359	309	385	315
ENSMUSG00000036957	415	233	13	198	65	149	98	323	396	277	313	271
ENSMUSG00000030579	701	884	597	384	388	1220	154	70	125	77	108	67
ENSMUSG00000036931	533	545	387	499	0	708	335	29	123	135	77	72
ENSMUSG00000006651	35950	56904	61267	44266	65055	55272	34364	43474	51802	46376	50631	44254
ENSMUSG00000036915	3152	4759	2535	3457	4361	3120	2348	3752	4331	3792	4699	3502
ENSMUSG00000006649	532	639	618	621	865	525	560	396	747	789	786	439
ENSMUSG00000087009	152	117	62	96	120	156	84	83	131	141	138	98
ENSMUSG00000036882	215	318	1	225	55	38	248	64	216	268	89	291
ENSMUSG00000036864	433	358	0	192	278	192	264	112	237	262	195	295
ENSMUSG00000036854	972	804	927	598	582	489	275	343	765	519	570	393
ENSMUSG00000036845	1317	747	780	658	744	950	729	504	971	946	1135	880
ENSMUSG00000036835	3066	2302	2156	1834	4013	3294	1183	1711	2844	1930	2699	2281
ENSMUSG00000078765	24	10	0	6	20	10	36	13	11	42	20	27
ENSMUSG00000109378	1123	1484	678	1201	1697	648	1772	616	1206	1995	1234	1382
ENSMUSG00000006307	1102	373	326	398	477	435	548	491	798	602	484	385
ENSMUSG00000006313	7	0	32	23	55	0	12	22	24	13	17	10
ENSMUSG00000036751	5182	5822	4330	4420	10543	8069	1988	4013	6984	3587	5392	4375
ENSMUSG00000036733	0	22	0	0	0	3	0	13	11	2	14	0
ENSMUSG00000078762	167	170	180	151	77	149	198	134	258	305	265	290
ENSMUSG00000006315	5707	4706	5638	4065	6156	6709	2689	3407	5969	4098	5206	4328
ENSMUSG00000097320	412	200	132	214	159	557	289	162	304	303	337	364
ENSMUSG00000061099	57	9	6	20	39	5	23	8	23	20	24	25
ENSMUSG00000109224	76	27	40	51	10	81	25	28	61	59	49	45
ENSMUSG00000098146	65	8	0	21	2	0	4	10	26	14	16	19
ENSMUSG00000046056	0	11	0	2	0	161	43	50	56	32	25	39
ENSMUSG00000060962	498	232	458	489	487	0	180	34	21	93	85	375
ENSMUSG00000036634	179	20	231	96	172	354	24	10	33	87	89	72
ENSMUSG00000058239	644	385	227	359	847	525	289	444	467	444	535	455
ENSMUSG00000097750	68	77	11	125	93	85	214	122	128	210	207	154
